HEL^Helsinki^0.182577784229^C
HEL^Helsinki-Vantaa^0.178645943208^A
OUL^Oulu Airport^0.0165457588778^CA
VAA^Vaasa^0.0144622551427^CA
KUO^Kuopio Airport^0.0131839953231^CA
TKU^Turku Airport^0.0128788083963^CA
TMP^Tampere^0.0111848329083^C
TMP^Tampere-Pirkkala Airport^0.0111848329083^A
ENF^Enontekio^^CA
HEM^Helsinki-Malmi^^A
HEN^Hernesaari Heliport^^H
HYV^Hyvinkaa Airport^^O
IVL^Ivalo Airport^^CA
JOE^Joensuu Airport^^CA
JYV^Jyvaskyla^^CA
KAJ^Kajaani Airport^^CA
KAO^Kuusamo Airport^^CA
KAU^Kauhava^^CA
KEM^Kemi^^CA
KEV^Halli^^CA
KHJ^Kauhajoki Airport^^CA
KOK^Kruunupyy^^CA
KTQ^Kitee Airport^^CA
KTT^Kittila^^CA
LPP^Lappeenranta Airport^^CA
MIK^Mikkeli Airport^^CA
POR^Pori Airport^^CA
QLF^Lahti Vesivehmaa Airport^^O
QVD^SALO/FI:SALO^^O
QVE^Forssa Airport^^O
QVF^Karkkila^^O
QVK^Valkeakoski^^C
QVM^HAMEENLINNA/FI:HAMEENLINNA^^O
QVS^Tervakoski^^O
QVT^RIIHIMAKI/FI:RIIHIMAKI^^O
QVV^Heinola^^O
QVW^KOTKA/FI:KOTKA^^O
QVY^KOUVOLA/FI:BUS STATION^^CB
QVZ^HAMINA/FI:HAMINA^^O
QXI^LOVIISA/FI:LOVIISA^^O
QXJ^Porvoo^^O
QZJ^Loimaa^^O
QZK^MANTSALA/FI:MANTSALA^^O
QZU^Rauma^^O
RVN^Rovaniemi Airport^^CA
SJY^Seinajoki-Ilmajok^^CA
SOT^Sodankyla^^CA
SVL^Savonlinna Airport^^CA
UTI^Utti^^CA
VRK^Varkaus Airport^^CA
XGQ^Saariselka^^CB
XGX^Levi^^CB
XHA^YLLASJARVI/FI:BUS STATION^^CB
XHC^AKASLOMPOLO/FI:BUS STATION^^CB
XHD^Ruka^^CB
XPY^PYHA/FI:BUS STATION^^CB
XQS^Sotkamo^^CB
XTP^TAMPERE/FI:TAMPERE^^B
XVM^Vuokatti^^CB
YLI^Ylivieska Airport^^CA
ZLV^LUOSTO/FI:BUS STATION^^CB
